CREDENTIAL_TITLE_REPORTED_TO_NSC	CREDENTIAL_LEVEL_CODE	CREDENTIAL_LEVEL_DESC
A.S. MEDICAL ASSISTING	A	Associates
A.S. MINING ENGINEERING TECH	A	Associates
A.S. NURSING	A	Associates
A.S. OFFICE SUPERVISION	A	Associates
A.S. PARALEGAL ASSISTING	A	Associates
A.S. PRE-ENGINEERING	A	Associates
A.S. PRE-PROF HEALTH	A	Associates
A.S. PROF OFF SYS TECHN	A	Associates
A.S. RADIOLOGIC TECHNOLOGIES	A	Associates
A.S. RADIOLOGIC TECHNOLOGY	A	Associates
A.S. RECREATIONAL LEADERSHIP	A	Associates
A.S. REGISTERED NURSING	A	Associates
A.S. RESPIRATORY THERAPY	A	Associates
A.S. SECRETARIAL SCIENCE	A	Associates
A.S. TRANSFER	A	Associates
A.S. TRANSFER W/HIGH HON	A	Associates
A.S. TRANSFER WITH HONORS	A	Associates
"A.S., NATURAL SCIENCE"	A	Associates
A.S.ELEMENTARY ED(DTA/MRP)W/HN	A	Associates
A.S.IN BUSINESS	A	Associates
A.S.IN MINISTRY STUDIES	A	Associates
A.S.N	A	Associates
A.S.N.	A	Associates
A.S.P.T.A.	A	Associates
A.S.TRANSFER	A	Associates
A.S.TRANSFER BIOL/CHEM/EARTH	A	Associates
A.S.TRANSFER ENGINEERING	A	Associates
A.S.TRANSFER ENGR/CS/PHYS/ATM	A	Associates
A.S.TRANSFER WITH HONORS	A	Associates
A.S.TRF ENGR/CS/PHYS/ATM W/HNR	A	Associates
A.SCI. DEGREE	A	Associates
A/A CARPENTRY TECH	A	Associates
A/A ELECTRONICS TECH	A	Associates
A/A MACHINIST TECHNOLOGY	A	Associates
A/AA	A	Associates
A/AA AUTO MECH	A	Associates
A/AA AUTO MECH TECH	A	Associates
A/AA AUTO MECHANICS	A	Associates
A/AA AUTO MECHANICS TECH	A	Associates
A/AA AUTO TECH	A	Associates
A/AA CARPENTRY	A	Associates
A/AA CARPENTRY TECH	A	Associates
A/AA CARPENTRY TECHNOLOGY	A	Associates
A/AA DP	A	Associates
A/AA ELECTRONIC TECH	A	Associates
A/AA ELECTRONICS	A	Associates
A/AA ELECTRONICS TECH	A	Associates
A/AA HEAVY EQUIP TECH	A	Associates
A/AA HEAVY EQUIPMENT TECH	A	Associates
A/AA IN AUTO MECHANICS	A	Associates
A/AA IN CARPENTRY TECH	A	Associates
A/AA IN DATA PROCESSING	A	Associates
A/AA IN ELECTRONICS	A	Associates
A/AA MACH TECH	A	Associates
A/AA MACHINE TECH	A	Associates
A/AA MACHINIST TECH	A	Associates
A/AA MACHINIST TECHNICIAN	A	Associates
A/AA-CARPENTRY	A	Associates
A/AS ACCOUNTING	A	Associates
A/AS BUSINESS MANAGEMENT	A	Associates
A/AS BUSINESS MANAGMENT	A	Associates
A/AS BUSINESS MNGMT	A	Associates
A/AS BUSINESS TECHNOLOGY	A	Associates
A/AS CORRECTIONS	A	Associates
A/AS CRIMINAL JUSTICE	A	Associates
A/AS DATA PROCESSING	A	Associates
A/AS EARLY CHILDHOOD EDUC	A	Associates
A/AS EARLY CHILDHOOD EDUCATION	A	Associates
A/AS ENERGY TECH-POWER OPER	A	Associates
A/AS FISH & WILDLIFE	A	Associates
A/AS FISH & WILDLIFE MNGMT	A	Associates
A/AS FISH 7 WILDLIFE MNGMT	A	Associates
A/AS FISH AND WILDLIFE MNGMT	A	Associates
A/AS FISHERIES TECHNOLOGY	A	Associates
A/AS GEOGRAPHIC INFO SYSTEM	A	Associates
A/AS GEOGRAPHIC INFO SYSTEMS	A	Associates
A/AS GEOGRAPHIC INFORMATION SY	A	Associates
A/AS HUMAN SERVICES	A	Associates
A/AS HUMAN SERVICES TECH	A	Associates
A/AS HUMAN SERVICES TECHNOLOGY	A	Associates
A/AS ICST IND CONTROL SYS TECH	A	Associates
A/AS MICROCOMPUTER TECH	A	Associates
A/AS MICROCOMPUTER TECHNOLOG	A	Associates
A/AS MICROCOMPUTER TECHNOLOGIE	A	Associates
A/AS MICROCOMPUTER TECHNOLOGY	A	Associates
A/AS NATURAL RESOURCES RESTORA	A	Associates
A/AS NATURAL RESOURCES TECH	A	Associates
A/AS NR-AQUACULTURE TECHNOLOGY	A	Associates
A/AS NR-FORESTRY TECHNICIAN	A	Associates
A/AS NURSING	A	Associates
A/AS OCCUPATIONAL ENTREPRENEUR	A	Associates
A/AS OFFICE TECHNOLOGY	A	Associates
A/AS PC NETWORK TECH II	A	Associates
A/AS PC NETWORKING TECH II	A	Associates
A/AS SECRETARIAL SCI	A	Associates
A/AS SECRETARIAL SCIENCE	A	Associates
A/AS TECH SUP SPEC-INFO TECH	A	Associates
A/AS- SECRETARIAL SCIENCE	A	Associates
A/S - CHEMISTRY	A	Associates
A/S BUSINESS ADM	A	Associates
A/S BUSINESS MANAGEMENT	A	Associates
A/S BUSINESS MANGMT	A	Associates
A/S BUSINESS MNGMT	A	Associates
A/S CHEMISTRY	A	Associates
A/S CRIMINAL JUSTICE	A	Associates
A/S DATA PROCESSING	A	Associates
A/S DATA PROCESSING TECH	A	Associates
A/S ENGINEERING	A	Associates
A/S FIRE SCIENCE	A	Associates
A/S FIRE SCIENCE TECH	A	Associates
A/S FISH & GAME	A	Associates
A/S FISH & GAME MNGMT	A	Associates
A/S FISH & GAME TECH	A	Associates
A/S FISH & WILDLIFE	A	Associates
A/S FISH & WILDLIFE TECH	A	Associates
A/S FISH-GAME MANGMT	A	Associates
A/S FOESTRY TECH	A	Associates
A/S FORESTRY	A	Associates
A/S FORESTRY TECH	A	Associates
A/S IN BUSINESS MNGMT	A	Associates
A/S IN FISH & GAME	A	Associates
A/S IN FISH/GAME MNGMT	A	Associates
