CREDENTIAL_TITLE_REPORTED_TO_NSC	CREDENTIAL_LEVEL_CODE	CREDENTIAL_LEVEL_DESC
1-YR CERT IN DENTAL ASSISTING	C	Certificate
1-YR CERT IN DOMESTIC HOUSING	C	Certificate
1-YR CERT IN INNOVATION	C	Certificate
1-YR CERT IN OFFICE OCCUPATION	C	Certificate
1-YR CERT IN PARAMEDIC	C	Certificate
1-YR CERT IN PARAMEDIC W/HON	C	Certificate
1-YR CERT IN PARAMEDIC W/HONOR	C	Certificate
1-YR CERT IN PROCUREMENT MGMT	C	Certificate
1-YR CERT MED OFFICE ASSIST	C	Certificate
1-YR CERT NETWORK & SECURITY	C	Certificate
1-YR CERT NETWORK&SECUR W/H/HN	C	Certificate
1-YR CERT NETWRK &SECUR W/HONR	C	Certificate
1-YR CERT NETWRK&SECUR W/H/HON	C	Certificate
1-YR CERT PARAEDUCATION	C	Certificate
1-YR CERT PHARMACY ASSIST LV A	C	Certificate
1-YR CERT PHARMACY ASSISTANT	C	Certificate
1-YR CERT PROCUREMENT MGMT	C	Certificate
1-YR CERT PROJ MANAGMNT W/H/HN	C	Certificate
1-YR CERT PROJECT MANAGEMENT	C	Certificate
1-YR CERT PROJECT MGT W/HONORS	C	Certificate
1-YR CERT VB.NET PROG W/HONORS	C	Certificate
1-YR CERT VB.NET PROGRAMMING	C	Certificate
1-YR CERT VB.NET PROGRM W/HONS	C	Certificate
1-YR CERT VBNET PROG W/HONORS	C	Certificate
1-YR CERT VBNET PROGRAMMING	C	Certificate
1-YR CERT VBNET W/HIGH/HONORS	C	Certificate
1-YR CERTIF OFFICE CAREERS	C	Certificate
1-YR CERTIFICATE RECEPTIONIST	C	Certificate
1-YR CERTIFICATE WELDING	C	Certificate
1/29/73 PROVISIONAL SECONDARY  CERTIFICATE	C	Certificate
10-30-67 PROVISIONAL DRIVER    EDUCATION CERTIFICATE	C	Certificate
10/03/73: PROVISIONAL SPECIAL            EDUCATION (M.R.)               CERTIFIC	C	Certificate
10/18/71 PROFESSIONAL          SECONDARY CERTIFICATE	C	Certificate
10K-12 TEACHING CERTIFICATE	C	Certificate
12 CREDIT HRS CERTIFICATE	C	Certificate
12/20/75 PROV. SEC. I CERT.	C	Certificate
12/20/75:PROVISIONAL SECONDARY I AND VOCATIONAL CERTIFICATE	C	Certificate
12/21/72: PROV. SEC. CERT.	C	Certificate
15-CR CERT IN ECE CURRICULUM	C	Certificate
18 HOUR CERTIFICATE	C	Certificate
18-HOUR CERTIFICATE	C	Certificate
18-HOUR CONTINUING CERTIFICATION	C	Certificate
18-HR CERT COMP STDY	C	Certificate
18HOUR CERTIFICATE IN COMPUTER STUDIES	C	Certificate
19-HOUR CERTIFICATE	C	Certificate
1YR CERT ACCOUNT WITH HIGH/HON	C	Certificate
1YR CERT ACCOUNTING	C	Certificate
1YR CERT ACCOUNTING W/H HONORS	C	Certificate
1YR CERT ACCOUNTING W/HGH HONR	C	Certificate
1YR CERT ACCOUNTING W/HIGH HON	C	Certificate
1YR CERT ACCOUNTING W/HONORS	C	Certificate
1YR CERT ACCOUNTING WITH H/HON	C	Certificate
1YR CERT BOOKKEEP CLERK W/HONS	C	Certificate
1YR CERT BOOKKEEP CLRK W/H HON	C	Certificate
1YR CERT C#.NET PROGRAM W/H HN	C	Certificate
1YR CERT C++PROGRAM W/HIGH HON	C	Certificate
1YR CERT JAVA WEB MOBILE PR HN	C	Certificate
1YR CERT MEDICAL ASST W/HONORS	C	Certificate
1YR CERT VB.NET PROGRAM W/H HN	C	Certificate
1YR CERTIFICATE-WELDING	C	Certificate
2 - ACCOUNTING CERTIFICATES	C	Certificate
2 SEMESTER CERTIFICATE	C	Certificate
2 YEAR CERT	C	Certificate
2 YEAR CERTIFICATE	C	Certificate
2 YEAR CERTIFICATE OF PROFICIENCY	C	Certificate
2 YEAR CERTIFICATE OPTICAL TECHNOLOGY	C	Certificate
2 YEAR GENERAL CERTIFICATE	C	Certificate
2 YEAR SECRETARIAL CERTIFICATE	C	Certificate
2 YEAR SECRETARIAL STUDIES CERTIFICATE	C	Certificate
2 YEAR SECT CERTIFICATE	C	Certificate
2 YEAR TECHNICAL CERTIFICATE	C	Certificate
2 YR CERT MACHINE TECH	C	Certificate
2 YR CERTIFICATE	C	Certificate
2 YR. SECT. CERTIF.	C	Certificate
2-YEAR CERTIFICATE	C	Certificate
2-YEAR CERTIFICATE IN OFFICE ADMINISTRATION	C	Certificate
2-YEAR COMMERCE CERTIFICATE	C	Certificate
2-YEAR SECRETARIAL CERTIFICATE	C	Certificate
2-YR CERT IN MACHINE TECH	C	Certificate
2-YR CERTIFICATE	C	Certificate
2/22/77 PROF. COUNSELOR CERT.	C	Certificate
20-HOUR CERTIFICATE	C	Certificate
26-HOUR CERTIFICATE	C	Certificate
3 SEMESTER CERTIFICATE	C	Certificate
3 YEAR CERTIFICATE	C	Certificate
3 YEAR MORTUARY SCIENCE CERTIFICATE	C	Certificate
3 YEAR MORTURAY SCIENCE CERTIFICATE	C	Certificate
3-D VISUALIZATION CERT	C	Certificate
30 HOUR CERTIFICATE	C	Certificate
30-HR CERT COMM STDY	C	Certificate
30HR CERT ACCOUNTING	C	Certificate
30HR CERT ADMIN TECH	C	Certificate
30HR CERT ARTS & SCI	C	Certificate
30HR CERT WRITING	C	Certificate
36-HR CERT COMP STDY	C	Certificate
3D ANIMATION (CERT)	C	Certificate
3D ANIMATION FOR WEB AND MULTIMEDIA CERTIFICATE	C	Certificate
3D SOLIDS & CAD/CAM CERTIFICATE	C	Certificate
4 CERTIFICATE	C	Certificate
4 YEAR ELEMENTARY CERTIFICATE	C	Certificate
"4 YEAR HIGH SCHOOL             CERTIFICATE MAY 27, 1951"	C	Certificate
4 YEAR HIGH SCHOOL CERT.	C	Certificate
"4-YEAR HIGH SCHOOL             LIBRARIAN CERTIFICATE               AUG 19, 1969"	C	Certificate
4-YR INITIAL ESA CERT(ELEM/SECONDARY)	C	Certificate
4-YR INITIAL ESA CERT(ELEM/SECONDARY)   PHYSICAL THERAPIST	C	Certificate
4-YR INITIAL ESA CERTIFICATE            (ELEMENTARY/SECONDARY)	C	Certificate
5 DIFFERENT CERTIFICATES IN AUTOMOTIVE	C	Certificate
5-YEAR CERTIFICATED	C	Certificate
5/12/76 PROV SEC I CERT	C	Certificate
5/2/68  PROFESSIONAL COUNSELOR CERTIFICATE	C	Certificate
5/3/73  PROVISIONAL SECONDARY  CERTIFICATE                    5/3/73  PROVISIONA	C	Certificate
5TH YR CERT PULP/PAPER TECH	C	Certificate
"6 YEAR HIGH SCHOOL             CERTIFICATE AUGUST 27, 1948"	C	Certificate
6 YEAR HIGH SCHOOL CERTIFICATE	C	Certificate
6/15/73 PROV KNDRGRTN CERT &   PROV SPEC EDU CERT	C	Certificate
60 HR CERT BUSN	C	Certificate
60HR CERT ARTS & SCI	C	Certificate
7/27/71 PROVISIONAL SECONDARY  CERTIFICATE	C	Certificate
"73PROVISIONAL SONDARY          CERTIFICATE MAY 12, 1973"	C	Certificate
8/18/75: PROVISIONAL SECONDARY          I CERTIFICATE	C	Certificate
8/21/72 PROFESSIONAL SECONDARY CERTIFICATE                    8/21/72 PROFESSION	C	Certificate
8/26/71  PROVISIONAL SECONDARY CERTIFICATE	C	Certificate
8/31/76  PROVISIONAL LIBRARIAN CERTIFICATE	C	Certificate
9/20/74 PROF. SUPERVISOR CERT.	C	Certificate
9CT/LCERT	C	Certificate
< ONE YEAR CERTIFICATE	C	Certificate
<1 YEAR CERTIFICATE	C	Certificate
A CERTIF	C	Certificate
A&P MAINTENANCE TECH CERTIFICATE	C	Certificate
A+ CERTIFICATE	C	Certificate
A.A. & CERT. OF ACHIEVEMENT PARAMEDIC TRAINING	C	Certificate
A.A. & CERTIFICATE OF ACHIEVEMENT	C	Certificate
A.S. CERTIFICATE	C	Certificate
A.S. CERTIFICATE (PSVC)	C	Certificate
A.S. NURSING (ADN) & NURSING CERTIFICATE	C	Certificate
ABA APPROVED LEGAL ASSISTANT CERTIFICATE	C	Certificate
AC/HEAT/REFRIG CERTIFICATE	C	Certificate
ACAD CERT-ADV COMM STUDIES	C	Certificate
ACAD CERT-ART-DESIGN	C	Certificate
ACAD CERT-ART-INTERDISCIPLIN	C	Certificate
ACAD CERT-ART-PHOTOGRAPHY	C	Certificate
ACAD CERT-ART-STUDIO	C	Certificate
ACAD CERT-BROADCASTING	C	Certificate
ACAD CERT-COMMUNICATION STUDIE	C	Certificate
ACAD CRED CERT OF ACHIEVEMENT	C	Certificate
ACADEMC CERTIFICATE	C	Certificate
ACADEMIC ACHIEVEMENT CERTIFICATE	C	Certificate
ACADEMIC CERT <1 YEAR	C	Certificate
ACADEMIC CERT >=1YR<2 YRS	C	Certificate
ACADEMIC CERTIFCATE >= 1 YR <	C	Certificate
ACADEMIC CERTIFICATE	C	Certificate
ACADEMIC CERTIFICATE < 1YEAR	C	Certificate
ACADEMIC CERTIFICATE < 24 HRS	C	Certificate
ACADEMIC CERTIFICATE >=1 YR<2	C	Certificate
ACADEMIC CERTIFICATE >=24 HRS	C	Certificate
ACADEMIC CERTIFICATE IN FOUNDATIONS OF ACCOUNTING AND AUDITING	C	Certificate
ACADEMIC CERTIFICATE PROGRAM	C	Certificate
ACADEMIC CREDIT CERTIFICATE	C	Certificate
ACADEMIC SUBJECT CERTIFICATE	C	Certificate
ACCADEMIC CERTIFICATE	C	Certificate
ACCELERATED CERTIFICATE	C	Certificate
ACCELERATED RESPIRATORY THERAPIST CERTIFICATE IN HEALTH SCIENCES	C	Certificate
ACCESS CERTIFICATE	C	Certificate
ACCOUNT CLERK CERTIFICATE	C	Certificate
ACCOUNTANCY CERTIFICATE	C	Certificate
ACCOUNTANT ASSISTANT CERTIFICATE	C	Certificate
ACCOUNTANT-CERTIFICATE	C	Certificate
ACCOUNTING  TECHNICIAN  CERT	C	Certificate
ACCOUNTING #2001 CERT	C	Certificate
ACCOUNTING (CERT)	C	Certificate
ACCOUNTING - CERTIFICATE	C	Certificate
ACCOUNTING ADVANCED TECHNICAL CERTIFICATE	C	Certificate
ACCOUNTING ATC (CERT)	C	Certificate
ACCOUNTING AUDIT TRACK CERTIFICATE	C	Certificate
ACCOUNTING CERT	C	Certificate
ACCOUNTING CERT.	C	Certificate
ACCOUNTING CERTIF	C	Certificate
ACCOUNTING CERTIFICATE	C	Certificate
ACCOUNTING CERTIFICATE - 1YR	C	Certificate
ACCOUNTING CERTIFICATE/HONORS	C	Certificate
ACCOUNTING CLEARK-CERTIFICATE	C	Certificate
ACCOUNTING CLERICAL CERT	C	Certificate
ACCOUNTING CLERK CERT	C	Certificate
ACCOUNTING CLERK CERTIFICATE	C	Certificate
ACCOUNTING CLERK TYPIST CERTIFICATE	C	Certificate
ACCOUNTING CLERK [CERT]	C	Certificate
ACCOUNTING CLERK-CERTIFICATE	C	Certificate
ACCOUNTING CONT CLERK CERT	C	Certificate
ACCOUNTING CONTROL CLERK CERT	C	Certificate
ACCOUNTING GOVERNMENT TRACK CERTIFICATE	C	Certificate
ACCOUNTING MANAGERIAL TRACK CERTIFICATE	C	Certificate
ACCOUNTING TAX TRACK CERTIFICATE	C	Certificate
ACCOUNTING TECH. CERTIFICATE	C	Certificate
ACCOUNTING TECHNICAL TRACK CERTIFICATE	C	Certificate
ACCOUNTING TECHNICIAN CERT.	C	Certificate
ACCOUNTING TECHNICIAN [CERT]	C	Certificate
ACCOUNTING-CERT	C	Certificate
ACCOUNTING-TAX PREP-CERT	C	Certificate
ACCTING PRIN PROFICIENCY CERT	C	Certificate
ACHIEVEMENT CERTIFICATE	C	Certificate
ACHIEVEMENT PROFESSIONAL PRACTICE CERTIFICATE	C	Certificate
ACT 120 CERTIFICATE	C	Certificate
ACT 120 CERTIFICATION	C	Certificate
ACTITIONER/PHYSICIAN ASSISTANT CERTIFICATE	C	Certificate
AD CERT	C	Certificate
AD. COM. TRUCK DRIVER CERTIFICATE	C	Certificate
ADDICT COUNSEL & CASE MGT-CERT	C	Certificate
ADDICT COUNSEL & WELLNESS-CERT	C	Certificate
ADDICTION STUDIES CERT UGRD	C	Certificate
ADDICTION STUDIES CERTIFICATE	C	Certificate
ADDICTION STUDIES PBACC CERT	C	Certificate
ADDICTIVE DRUG STUDIES-CERT	C	Certificate
ADDING PROVISIONAL ALL-LEVEL   TEACHING FIELD CERTIFICATE     FOR PHYSICAL EDUCA	C	Certificate
ADDING TEACHING FIELD          PROVISIONAL ELEMENTARY         CERTIFICATE FOR AR	C	Certificate
ADDING TEACHING FIELD          PROVISIONAL ELEMENTARY         CERTIFICATE FOR HI	C	Certificate
ADDITION OF A KINDERGARTEN     ENDORSEMENT CERTIFICATE	C	Certificate
"ADDITION OF BIOLOGY TEACHING   FIELD CERTIFICATE DEC 8, 1983"	C	Certificate
ADDITION OF ELEMENTARY         TEACHER FIELD CERTIFICATE      FOR GENERIC SPECIA	C	Certificate
ADDITION OF ELEMENTARY         TEACHING FIELD CERTIFICATE     FOR GENERIC SPECIA	C	Certificate
ADDITION OF ELEMENTARY         TEACHING FIELD CERTIFICATE     FOR HISTORY AUG 24	C	Certificate
ADDITION OF ELEMENTARY &       SECONDARY ENGLISH TEACHING     CERTIFICATE AUGUST	C	Certificate
ADDITION OF ELEMENTARY TEACH-  ING CERTIFICATE FOR EARLY      CHILDHOOD EDUCATIO	C	Certificate
"ADDITION OF ELEMENTARY TEACH-  ING CERTIFICATE FOR EARTH      SCIENCE JUNE 21, 1"	C	Certificate
ADDITION OF ELEMENTARY TEACH-  ING CERTIFICATE FOR GENERIC    SPECIAL EDU. JUNE	C	Certificate
ADDITION OF ELEMENTARY TEACH-  ING CERTIFICATE FOR GENERIC    SPECIAL EDUC JANUA	C	Certificate
ADDITION OF ELEMENTARY TEACH-  ING CERTIFICATE FOR GENERIC    SPECIAL EDUC SEPTE	C	Certificate
ADDITION OF ELEMENTARY TEACH-  ING CERTIFICATE FOR GENERIC    SPECIAL EDUCATION	C	Certificate
ADDITION OF ELEMENTARY TEACH-  ING FIELD CERTIFICATE FOR      SPECIAL-ED APRIL 1	C	Certificate
"ADDITION OF HISTORY TEACHING   FIELD CERTIFICATE DEC 8, 1983"	C	Certificate
ADDITION OF PHYSICS            TEACHING FIELD CERTIFICATE	C	Certificate
"ADDITION OF PROVISIONAL        ALL LEVEL TEACHING CERTIFICATE FOR P.E. MARCH 27,"	C	Certificate
ADDITION OF PROVISIONAL        ALL-LEVEL TEACHING FIELD       CERTIFICATE FOR PH	C	Certificate
ADDITION OF PROVISIONAL        SECONDARY BIOLOGY TEACHING     FIELD CERTIFICATE	C	Certificate
ADDITION OF PROVISIONAL        SECONDARY COMPUTER SCIENCE     TEACHING CERTIFICA	C	Certificate
ADDITION OF PROVISIONAL        SECONDARY ENGLISH TEACHING     FIELD CERTIFICATE	C	Certificate
ADDITION OF PROVISIONAL        SECONDARY MATH TEACHING        CERTIFICATE JAN 18	C	Certificate
ADDITION OF PROVISIONAL        SECONDARY TEACHING FIELD       CERTIFICATE FOR BI	C	Certificate
ADDITION OF SECONARY           SCIENCE COMPOSITE TEACHING     FIELD CERTIFICATE	C	Certificate
ADDITION OF SECONDARY          BUS ADM TEACHING FIELD         CERTIFICATE SEPT 1	C	Certificate
"ADDITION OF SECONDARY          ENGLISH TEACHING FIELD         CERTIFICATE NOV 1,"	C	Certificate
ADDITION OF SECONDARY          ENGLISH TEACHING FIELD         CERTIFICATE SEPT 1	C	Certificate
ADDITION OF SECONDARY          ENGLISH TEACHING FIELD         CERTIFICATE SEPT 2	C	Certificate
ADDITION OF SECONDARY          FIELD TEACHER CERTIFICATE      FOR COMPUTER SCIEN	C	Certificate
ADDITION OF SECONDARY          MATH TEACHING FIELD            CERTIFICATE AUG 31	C	Certificate
"ADDITION OF SECONDARY          MATH TEACHING FIELD            CERTIFICATE NOV 1,"	C	Certificate
ADDITION OF SECONDARY          PROVISIONAL TEACHING FIELD     CERTIFICATE FOR HE	C	Certificate
"ADDITION OF SECONDARY          TEACHER CERTIFICATE FOR        ENGLISH AUG 7, 198"	C	Certificate
ADDITION OF SECONDARY          TEACHER CERTIFICATE FOR        SOCIAL STUDIES COM	C	Certificate
ADDITION OF SECONDARY          TEACHER FIELD CERTIFICATE      FOR GENERIC SPECIA	C	Certificate
ADDITION OF SECONDARY          TEACHER FIELD CERTIFICATE      FOR MATHEMATICS JU	C	Certificate
ADDITION OF SECONDARY          TEACHER FIELD CERTIFICATE      FOR PHYSICAL SCIEN	C	Certificate
ADDITION OF SECONDARY          TEACHING CERTIFICATE FOR       MATHEMATICS JUNE 2	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD  CERTIFICATE    FOR ENGLISH OCT 29	C	Certificate
"ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR ART SEPT 4, 19"	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR BIOLOGY AUG 24	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR BUSINESS COMPO	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR COMPUTER INFOR	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR DRAMA AUGUST 7	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR EARTH SCIENCE	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR ENGLISH AUG 24	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR ENGLISH JAN 30	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR ENGLISH JULY 2	C	Certificate
"ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR ENGLISH MAY 1,"	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR ENGLISH SEPT 1	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR FRENCH/GERMAN	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR GENERIC SPECIA	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR HISTORY JAN 22	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR HISTORY JULY 2	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR HISTORY SEPT 1	C	Certificate
"ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR JRN JULY 2, 19"	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR LIFE/EARTH SCI	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR MATHEMATICS	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR MATHEMATICS AU	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR PHYSICAL SCIEN	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR PSYCHOLOGY &	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR PSYCHOLOGY JAN	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR READING DEC 17	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR SCIENCE COMPOS	C	Certificate
ADDITION OF SECONDARY          TEACHING FIELD CERTIFICATE     FOR SOCIAL SCIENCE	C	Certificate
ADDITION OF SECONDARY ENGLISH  TEACHING FIELD CERT - 8/31/84	C	Certificate
ADDITION OF SECONDARY ENGLISH  TEACHING FIELD CERTIFICATE	C	Certificate
ADDITION OF SECONDARY FIELD    TEACHER CERTIFICATE FOR        MATHEMATICS FEB 20	C	Certificate
ADDITION OF SECONDARY LIFE/    EARTH SCIENCE TEACHING         FIELD CERTIFICATE	C	Certificate
ADDITION OF SECONDARY MATH     TEACHING FIELD CERTIFICATE	C	Certificate
ADDITION OF SECONDARY TEACH-   ING CERTIFICATE FOR ECONOMICS	C	Certificate
ADDITION OF SECONDARY TEACH-   ING CERTIFICATE FOR HISTORY	C	Certificate
ADDITION OF SECONDARY TEACH-   ING CERTIFICATE FOR MATHE-     MATICS DECEMBER 14	C	Certificate
ADDITION OF SECONDARY TEACH-   ING FIELD CERTIFICATE FOR      GENERIC SPECIAL ED	C	Certificate
"ADDITION OF SECONDARY TEACHING CERTIFICATE FOR LIFE/EARTH     SCIENCE  JULY 28,"	C	Certificate
ADDITION OF SECONDARY TEACHING CERTIFICATE FOR MATHEMATICS	C	Certificate
"ADDITION OF SECONDARY TEACHING CERTIFICATE FOR PHYSICAL       SCIENCE AUGUST 15,"	C	Certificate
"ADDITION OF SECONDARY TEACHING CERTIFICATE FOR SCIENCE        COMPOSITE JUNE 1,"	C	Certificate
"ADDITION OF SECONDARY TEACHING CERTIFICATE FOR SCIENCE COMPO- SITE MAY 9, 1990"	C	Certificate
ADDITION OF SECONDARY TEACHING CERTIFICATE FOR THEATRE ARTS	C	Certificate
ADDITION OF SECONDARY TEACHING CERTIFICATE IN COMPUTER SYS-   TEMS    09/12/91	C	Certificate
ADDITION OF SECONDARY TEACHING FIELD CERTIFICATE FOR          HISTORY FEBRUARY 1	C	Certificate
ADDITION OF SECONDARY TEACHING FIELD CERTIFICATE FOR MATH     WITH A DRIVER'S ED	C	Certificate
ADDITION OF SECONDRY TEACH-    ING CERTIFICATE FOR GENERIC    SPECIAL EDUCATION	C	Certificate
ADDITION OF TEACHING           FIELD CERTIFICATE FOR          SOCIAL STUDIES COM	C	Certificate
"ADDITION OF TEACHING CERTIFI-  CATE FOR MATHEMATICS  FEB. 9,  1989"	C	Certificate
"ADDITION OF TEACHING FIELD     CERTIFICATE FOR SECONDARY      BIOLOGY APRIL 6, 1"	C	Certificate
"ADDITION OF TEACHING FIELD     CERTIFICATE FOR SECONDARY      ENGLISH APRIL 6, 1"	C	Certificate
"ADDITION OF TEACHING FIELD     CERTIFICATE FOR SECONDARY      MATH APRIL 6, 1987"	C	Certificate
ADDITION OF TEACHING FIELD     CERTIFICATE FOR SECONDARY      PSYCHOLOGY MARCH 3	C	Certificate
ADDITION OF TEACHING FIELD     CERTIFICATE FOR SOCIAL         SCIENCE COMPOSITE	C	Certificate
ADDITION OF TEACHING FIELD     SECONDARY TEACHING CERTIFICATE FOR ENGLISH  07/01	C	Certificate
ADDITION OF TEACHING FIELD     SECONDARY TEACHING CERTIFICATE FOR HISTORY  07/01	C	Certificate
ADDITIONAL ELEMENTARY TEACH-   ING FIELD CERTIFICATE FOR      EARLY CHILDHOOD ED	C	Certificate
ADDITIONAL FIELD: PROVISIONAL  SECONDARY TEACHING CERTIFICATE IN HISTORY  JANUAR	C	Certificate
ADDITIONAL MAJOR CERT	C	Certificate
ADDITIONAL MAJOR CERTIFICATE	C	Certificate
ADDITIONAL SECONDARY TEACH-    ING CERTIFICATE FOR ENGLSIH	C	Certificate
ADDITIONAL SECONDARY TEACH-    ING CERTIFICATE FOR HISTORY	C	Certificate
"ADDITIONAL SECONDARY TEACHING  CERTIFICATE FOR ART MAY 1,1991"	C	Certificate
ADDITIONAL SECONDARY TEACHING  CERTIFICATE FOR GENERIC        SPECIAL EDUCATION	C	Certificate
ADDITIONAL SECONDARY TEACHING  CERTIFICATE FOR SPEECH	C	Certificate
ADDITIONAL SECONDARY TEACHING  FIELD CERTIFICATE FOR SPANISH	C	Certificate
ADDITIONAL SPECIALTY CERTIFICATE	C	Certificate
"ADDITIONAL TEACHING CERTIFI-   CATE FOR EARLY CHILDHOOD       EDUCATION MAY 1, 1"	C	Certificate
ADDITIONAL TEACHING FIELD      ELEMENTARY CERTIFICATE:ENGLISH	C	Certificate
ADDITIONAL TEACHING FIELD      SECONDARY CERTIFICATE: ENGLISH	C	Certificate
ADDITIONAL TEACHING FIELD      SECONDARY CERTIFICATE: HEALTH  EDUCATION    MARCH	C	Certificate
ADDITIONAL TEACHING FIELD      SECONDARY CERTIFICATE: HEALTH  EDUCATION   MARCH	C	Certificate
ADDITIONAL TEACHING FIELD      SECONDARY CERTIFICATE: HISTORY	C	Certificate
ADDITIONAL TEACHING FIELD      SECONDARY TEACHING CERTIFICATE GENERIC SPECIAL ED	C	Certificate
"ADDITIONAL TEACHING FIELD,     SECONDARY CERTIFICATE IN       ENGLISH  NOVEMBER"	C	Certificate
"ADDITIONAL TEACHING FIELD,     SECONDARY CERTIFICATE IN       SPEECH COMMUNICATI"	C	Certificate
ADDITIONAL TEACHING OF ELEMEN- TARY CERTIFICATE FOR GENERIC   SPECIAL EDUCATION	C	Certificate
"ADDITIONAL TEACHING OF SECON-  DARY CERTIFICATE FOR MATHE-    MATICS APRIL 8, 19"	C	Certificate
ADDITON OF ELEMENTARY TEACH-   ING CERTIFICATE FOR EARLY      CHILDHOOD EDUCATIO	C	Certificate
ADDTION OF ELEMENTARY TEACH-   ING CERTIFICATE FOR GENERIC    SPECIAL EDUCATION	C	Certificate
"ADDTION OF ELEMENTARY TEACH-   ING FIELD CERTIFICATE FOR      ART NOVEMBER 8, 19"	C	Certificate
ADDTION OF SECONDARY TEACH-    ING CERTIFICATE FOR FRENCH     10-04-90	C	Certificate
ADDTION OF SECONDARY TEACH-    ING CERTIFICATE FOR SCIENCE    COMPOSITE 10-04-90	C	Certificate
"ADDTION OF SECONDARY TEACHING  FEILD CERTIFICATE FOR GEO-     GRAPHY NOVEMBER 8,"	C	Certificate
ADDTIONAL SECONDARY TEACH-     ING CERTIFICATE FOR SPEECH     COMMUNICATIONS FEB	C	Certificate
"ADDTIONAL SECONDARY TEACHING   FIELD CERTIFICATE FOR BIO-     LOGY FEBRUARY 25,"	C	Certificate
ADDTIONAL SECONDARY TEACHING   FIELD CERTIFICATE FOR ENGLISH	C	Certificate
ADDTIONAL SECONDARY TEACHING   FIELD CERTIFICATE FOR GENERIC  SPECIAL EDUCATION	C	Certificate
ADDTIONS OF SECONDARY TEACH-   ING CERTIFICATE FOR ENGLISH    09-27-90	C	Certificate
ADDTIONS OF SECONDARY TEACH-   ING CERTIFICATE FOR SOCIAL     STUDIES COMPOSITE	C	Certificate
ADELPHI CERTIFICATE	C	Certificate
ADM OFF ASS''T-MEDICAL CERT	C	Certificate
ADMIN OF JUSTICE/SEC ADM CERT	C	Certificate
ADMIN OFFICE BASIC SKILLS CERT	C	Certificate
ADMIN SOFTWARE SPEC. CERT	C	Certificate
ADMIN SPPT-BOOKKEEPER(CERT)	C	Certificate
ADMIN SUPPORT CERTIFICATE	C	Certificate
ADMIN SUPPRT-ADMIN (CERT)	C	Certificate
ADMIN. OFFICE SYS.-CERTIFICATE	C	Certificate
ADMINISTRATIVE ASSISTANT CERTIFICATE	C	Certificate
ADMINISTRATIVE ASSISTANT CERTIFICATE AND ADMINISTRATIVE CLERK TRANSCRIPT	C	Certificate
ADMINISTRATIVE ASSISTANT[CERT]	C	Certificate
ADMINISTRATIVE ASSTNT (CERT)	C	Certificate
ADMINISTRATIVE CERTIFICATE	C	Certificate
ADMINISTRATIVE MEDICAL ASSISTANT CERTIFICATE	C	Certificate
ADMINISTRATIVE OFFICE TECHNOLOGY CERTIFICATE	C	Certificate
ADMINISTRATIVE SUPPORT (CERT)	C	Certificate
ADMINISTRATIVE SUPPORT 1 CERTIFICATE	C	Certificate
ADMINISTRATIVE SUPPORT 2 CERTIFICATE	C	Certificate
ADMINISTRATOR I CERTIFICATE	C	Certificate
ADOBE APPLICATIONS SPECIALIST CERTIFICATE	C	Certificate
ADOBE CERTIFICATION TRAINING IN ILLUSTRATOR CERTIFICATE	C	Certificate
ADOBE CERTIFICATION TRAINING IN INDESIGN CERTIFICATE	C	Certificate
